Date ID,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),ADX,MACD,MACD_Sig,MACD_Hist,MOM,ATR,RSI,SlowD,SlowK,WILLR,Upper_Band,Middle_Band,Lower_Band,SMA,EMA,Actual Close Value,Label
37284,-1.292877811,-1.316537901,-1.318502468,-1.318833342,0.453783452,-0.6260983088,2.907426294,-1.841589327,-2.680986158,2.034077988,0.46340664,-0.1898379932,-0.9130503053,0.5232824462,0.9142961516,0.1001781127,-1.322519168,-1.308370442,-1.292439576,-1.229120891,-1.222818512,4856.4,0
18792,-1.316632225,-1.301031294,-1.293192865,-1.311622838,-0.3473206055,-1.063005706,2.713855618,-1.720672275,-2.510628228,1.91664016,0.3343706379,-0.2534885338,-0.8236768289,-0.01010518445,0.550404324,0.2457881067,-1.331601393,-1.301525871,-1.269583912,-1.237365868,-1.228464841,4870.05,1
25867,-1.312094162,-1.318542795,-1.301190323,-1.303064282,-0.7060614959,-1.053089071,2.552001248,-1.593824455,-2.347271758,1.837073304,0.3843661368,-0.3716772918,-0.7143000738,-0.2954791439,0.07795037328,0.5572415606,-1.331289521,-1.299728307,-1.266294297,-1.245419768,-1.233184605,4858.6,1
32942,-1.303988242,-1.320766975,-1.300249446,-1.310243437,-0.4925552019,-0.9674866409,2.401707905,-1.492392171,-2.194940293,1.7117816,0.1762896316,-0.4998423697,-0.7917433908,-0.2509861018,-0.2010660104,0.4312349715,-1.350538552,-1.306692297,-1.260892321,-1.252888759,-1.238071528,4859.75,0
300,-1.310591907,-1.321017587,-1.299653557,-1.309522386,0.1887944799,-0.3632465196,2.2621498,-1.397662968,-2.05285931,1.595291805,0.3505596566,-0.6237765228,-0.7813788095,-0.2043848187,-0.2710768628,0.4453958348,-1.362144821,-1.310212003,-1.256273578,-1.260833321,-1.242595795,4922.3,1
7375,-1.310904876,-1.250940255,-1.285320857,-1.27030351,3.070594486,1.374740838,1.91492838,-1.239262664,-1.9053909,1.656516275,0.3167531763,-0.414257191,-0.2470314468,-0.1542314246,-0.2201766577,0.6173634545,-1.331341265,-1.30048253,-1.267754129,-1.268000835,-1.244251544,5017,1
6443,-1.262644921,-1.227476723,-1.237085206,-1.21092657,1.145580053,0.4144203683,1.657742911,-0.99612841,-1.735529787,1.910994168,0.886225717,-0.3159896786,0.3976692667,0.4246916432,0.02331142073,1.172357929,-1.266694557,-1.280294502,-1.292311129,-1.272994317,-1.241899485,5088.1,1
13518,-1.212444552,-1.187504136,-1.187061888,-1.16634684,0.4088788272,-0.001834360898,1.514605067,-0.7162843534,-1.539920408,2.203605761,0.9685992534,-0.3305101542,0.7845204026,0.9915276729,0.454271944,1.260021997,-1.201904916,-1.252884791,-1.30253566,-1.276959167,-1.236770341,5080.25,1
20593,-1.16164954,-1.185185977,-1.165798058,-1.171268793,0.6461536822,-0.211345176,1.386849322,-0.5008793087,-1.337464109,2.281416374,0.6538656837,-0.4541389762,0.7146970129,1.442527626,1.029682035,1.152803011,-1.175309147,-1.225022547,-1.273435719,-1.280046124,-1.232295476,5088.7,0
27668,-1.171914952,-1.171590285,-1.153848914,-1.16597064,0.7263515521,-0.4089346875,1.298972578,-0.3198317457,-1.136862377,2.260340476,0.8190889041,-0.5592720808,0.7615926487,1.380353357,1.374065487,1.026580343,-1.178079807,-1.196242665,-1.212958074,-1.282869819,-1.22776123,5124,1
9176,-1.164654051,-1.153765519,-1.13873215,-1.143837525,0.3406709701,-0.09524966641,1.256054901,-0.1371538869,-0.9373963837,2.24743358,1.191198261,-0.6284474964,0.9558273468,1.27306998,1.475522426,1.10341393,-1.189825267,-1.170888212,-1.150319566,-1.28223608,-1.222065399,5101.5,1
16251,-1.146564392,-1.163351421,-1.137352196,-1.157945034,-0.1802822234,-0.3874892987,1.216202773,-0.02117849436,-0.7530737078,2.075340032,1.029308074,-0.7690907086,0.7282139475,0.9343438984,1.292392701,0.888675931,-1.203580411,-1.160266242,-1.115191648,-1.280845463,-1.217663886,5116.25,0
23326,-1.15873892,-1.159842856,-1.138794875,-1.148696778,-0.02986317223,-0.3563064,1.187344705,0.08368431822,-0.583237181,1.910714763,1.034545697,-0.8708750753,0.816666084,0.6944898337,1.045234063,1.023906844,-1.198786176,-1.15672768,-1.112920702,-1.278545107,-1.212938744,5133.4,1
30401,-1.149506309,-1.150319606,-1.132490996,-1.137943721,-0.2344032448,-0.7167733914,1.183074658,0.1813819234,-0.426518674,1.761637356,1.170723913,-0.946606036,0.9203856478,0.5525372865,0.7855819993,1.133506035,-1.192648296,-1.150046524,-1.105701769,-1.272594117,-1.207811987,5137,1
37476,-1.139835539,-1.146873694,-1.119945963,-1.13568652,-0.2902998019,-0.5540216796,1.187403416,0.2569040007,-0.2850269803,1.588594938,1.18238953,-1.069812082,0.9428251663,0.5838161513,0.6592653813,1.103414472,-1.190606746,-1.143975031,-1.09558464,-1.266867111,-1.202867694,5128.9,1
18984,-1.138176799,-1.151290727,-1.133055523,-1.140765223,-0.6054575382,-0.7925963893,1.124728803,0.3008522312,-0.1624547955,1.373587537,0.845991244,-1.133703938,0.8426028198,0.430289465,0.5640578055,1.025358393,-1.189656376,-1.143359082,-1.09530587,-1.261626291,-1.198576052,5198.1,0
26059,-1.141619468,-1.114826706,-1.117687857,-1.097376794,-0.8582915497,-0.8120104306,1.15660026,0.4076922596,-0.04159671126,1.354107947,0.7245736036,-1.070121358,1.272435315,0.5890298744,0.5772083202,1.213539421,-1.158076463,-1.131216097,-1.102729309,-1.255291023,-1.191710727,5231.9,1
33134,-1.098116654,-1.082717066,-1.085415761,-1.07618418,0.01634324725,-0.4153183779,1.249563812,0.5222292855,0.07953268046,1.357191172,0.5469705454,-1.01180983,1.451253245,0.7573603485,0.6397469244,1.095971488,-1.127254658,-1.116678454,-1.104589988,-1.246760492,-1.183896,5245.9,1
492,-1.076772108,-1.085755734,-1.062050638,-1.067406174,-0.1517302506,-0.7085374779,1.33588711,0.6189174139,0.1970700508,1.316370282,0.651008798,-1.111210648,1.522962354,1.178956038,0.9095373484,1.193032496,-1.105266363,-1.102536778,-1.09835921,-1.240092963,-1.176008745,5262.8,1
7567,-1.067852467,-1.076796361,-1.047812025,-1.056809867,-0.5699340793,-0.6944285692,1.433274041,0.7038258038,0.3092199334,1.255145135,0.691243271,-1.234147911,1.609765182,1.242436478,1.14499977,1.239831527,-1.090197137,-1.086723242,-1.081817547,-1.23123017,-1.167934181,5205.2,1
28792,-1.058995419,-1.082435128,-1.07920597,-1.092925091,-0.6917055218,-0.8265080775,1.366596867,0.6935997488,0.3967575348,0.975443234,0.248902142,-1.191838942,0.8611758996,0.9184087408,1.203035371,0.5111482826,-1.109493891,-1.077132043,-1.04318183,-1.220900329,-1.16275328,5225.3,0
35867,-1.0934847,-1.093305416,-1.075222922,-1.080322382,-0.3986958136,-0.6505697574,1.304682349,0.6975407145,0.4676286429,0.7860398291,0.4517410236,-1.245738073,0.9909337857,0.4498303494,0.9402867243,0.673946849,-1.112259726,-1.0737129,-1.033545962,-1.210963258,-1.15707865,5260.4,1
10300,-1.081310171,-1.078456665,-1.069232669,-1.058314668,0.6949856127,0.708546524,1.285441029,0.7296378344,0.5311752573,0.7028019215,0.548637062,-1.244179347,1.205872255,0.3622136523,0.6230885245,1.158628602,-1.10554991,-1.070130342,-1.033113612,-1.200347863,-1.150324246,5282,1
17375,-1.059245795,-1.061884958,-1.033102975,-1.044771459,-0.4969734118,-0.3866089211,1.307370447,0.7680374471,0.5902072686,0.6514965152,0.5698256306,-1.355795244,1.330791459,0.7697496217,0.5695175381,1.124326675,-1.093600985,-1.065592435,-1.03603598,-1.189958576,-1.14311584,5302.85,1
38600,-1.044630101,-1.039455199,-1.044644405,-1.0316985,-0.6534399747,-0.5256171155,1.37629611,0.8100822303,0.6464054998,0.6192925242,0.6519610932,-1.262307268,1.448291132,1.123174911,0.8121648276,0.9547106939,-1.078594453,-1.060557999,-1.041038524,-1.178373996,-1.135513616,5262.45,1
5958,-1.032705949,-1.042305909,-1.03887369,-1.057029317,-0.6303183364,-0.6675637131,1.440298512,0.7846724531,0.6859414779,0.4299373067,0.4981654155,-1.225646043,0.9126923319,0.6688545218,0.9226663154,0.4220434371,-1.084030735,-1.053361457,-1.021144591,-1.169125864,-1.130066059,5249.1,0
13033,-1.059339686,-1.061790978,-1.049035166,-1.065399772,-0.3783978731,-0.319608755,1.442155646,0.7375430227,0.7075125424,0.2257782356,0.105105564,-1.245946797,0.7450916709,0.03683794241,0.6585533447,0.2035228001,-1.089525144,-1.050369707,-1.009620916,-1.159632517,-1.125519885,5290.5,0
9368,-1.066350211,-1.058846289,-1.040222281,-1.039441955,-0.732094091,-0.7682087862,1.451480186,0.7363545074,0.7245157574,0.1738677199,0.1412927823,-1.298534123,1.032840627,-0.2354089978,0.1689723458,0.7712472203,-1.085329486,-1.046586023,-1.006256531,-1.150402431,-1.119561619,5368.4,1
37668,-1.039935553,-1.00938178,-1.013752262,-0.9905986223,-0.6492798353,-0.6165780349,1.566906114,0.8127868974,0.7544294838,0.320586936,0.4455511046,-1.210412748,1.474538949,0.2801989895,0.02891595145,1.203064571,-1.046643739,-1.035725216,-1.023397573,-1.14075516,-1.110778814,5366,1
5026,-0.9909557667,-1.002427302,-0.9759289882,-0.9921034233,-0.3884995869,-0.6226835108,1.686434576,0.8576120762,0.7879264411,0.3613079265,0.3536546161,-1.311310615,1.443174362,0.8671791035,0.3281387322,1.037013235,-1.027263841,-1.027787022,-1.026978338,-1.130601535,-1.102661505,5374.65,0
12101,-0.9934282288,-0.9955354764,-0.9801002116,-0.9866798696,-0.03671191438,-0.323888686,1.80978356,0.8897610825,0.8215848078,0.3631422353,0.6691024072,-1.340628363,1.490238929,1.18200536,0.8389199455,0.9549032814,-1.013187838,-1.013683057,-1.012864566,-1.119354525,-1.094711573,5304.45,1
19176,-0.9867932673,-1.00555995,-1.014473601,-1.030695299,-0.2150152523,-0.5907917367,1.737066017,0.8217151074,0.8339900605,0.1216149945,0.239141116,-1.226340519,0.6031009541,0.4980547595,0.9174267236,-0.09546064153,-1.025008319,-1.006725352,-0.9870278422,-1.109842069,-1.090166296,5361.75,0
26251,-1.033050216,-1.009444433,-1.006946582,-0.994768175,-0.2557955611,-0.447088195,1.669542584,0.8213074005,0.8438272555,0.0924307579,0.3448458853,-1.186595183,0.9725550447,0.2587939943,0.6981883036,0.7485144164,-1.028757903,-0.9977689575,-0.9653027594,-1.09940289,-1.083553898,5339.7,1
7759,-1.000657833,-1.006499744,-0.992739332,-1.008593534,-0.6050418094,-0.7157329451,1.614905844,0.7834300968,0.8436137557,-0.021788578,0.1370074539,-1.215156089,0.7245029057,-0.2176307994,0.1938136642,0.4237386742,-1.032881462,-1.001376656,-0.9683868941,-1.089188757,-1.078276414,5322.95,0
14834,-1.008982832,-1.022570227,-1.00729157,-1.019095791,-0.7533288739,0.1746565772,1.486260866,0.7226704683,0.8304764677,-0.168658676,-0.04202404721,-1.250612576,0.5380540073,-0.2998335997,-0.09371438419,0.1422452973,-1.038047942,-1.006788204,-0.9740379146,-1.079354656,-1.074029397,5273.6,0
28984,-1.019968075,-1.01213851,-1.030123529,-1.050038262,0.4662935981,0.1226228304,1.257635435,0.6075081459,0.7953902707,-0.4180931553,-0.08463925823,-1.090052352,0.02728675056,-1.001735171,-0.547960253,-0.6999278778,-1.044804223,-1.019490572,-0.9927046608,-1.071896279,-1.072089261,5262.6,0
36059,-1.051202469,-1.068588824,-1.047529762,-1.056935267,-0.3178933494,-0.7171926188,0.9717988458,0.4947579788,0.7432597158,-0.6117907358,-0.07344978942,-1.168363806,-0.07991118058,-1.337115438,-0.9513791393,-1.30211795,-1.039977079,-1.024751275,-1.008105403,-1.066681997,-1.070727419,5203.65,0
17567,-1.047665909,-1.071094942,-1.0956086,-1.093896942,-0.2411158583,-0.6058115122,0.8457978594,0.3305146311,0.6665047047,-0.8916309967,-0.5512639153,-0.9761123054,-0.6092184661,-1.464257343,-1.370992338,-1.263951562,-1.047284476,-1.044625044,-1.040593256,-1.06422878,-1.071881771,5230.1,0
